url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping,11,2
/EOL/computer-vision-with-EOL-images,9,6
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging,8,2
/EOL/computer-vision-with-EOL-images/tree/master,7,2
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,6,3
/EOL/computer-vision-with-EOL-images/tree/master/classification_for_image_tagging,5,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/.archive,3,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging/human_present,3,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/chiroptera,2,2
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/multitaxa,2,2
