time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,21,8,3,2
2026-05-31 00:00:00+00:00,12,6,0,0
2026-06-01 00:00:00+00:00,13,4,1,1
2026-06-02 00:00:00+00:00,10,5,1,1
2026-06-03 00:00:00+00:00,9,4,0,0
2026-06-04 00:00:00+00:00,1,1,0,0
2026-06-05 00:00:00+00:00,9,4,1,1
2026-06-06 00:00:00+00:00,8,3,1,1
2026-06-07 00:00:00+00:00,9,4,0,0
2026-06-08 00:00:00+00:00,21,8,0,0
2026-06-09 00:00:00+00:00,11,6,0,0
2026-06-10 00:00:00+00:00,8,4,0,0
2026-06-11 00:00:00+00:00,17,6,1,1
2026-06-12 00:00:00+00:00,1,1,6,1
